Dataset ID,Dataset Name,Original Accuracy,Original Precision,Original Recall,Original F1,Original Log Loss,Unlearned Accuracy,Unlearned Precision,Unlearned Recall,Unlearned F1,Unlearned Log Loss,Retrained Accuracy,Retrained Precision,Retrained Recall,Retrained F1,Retrained Log Loss,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,Log Loss Difference,Samples Removed
896,fri_c3_500_25,0.9,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.39720183476396476,0.9,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.39720183476396476,0.9,0.8837209302325582,0.8837209302325582,0.8837209302325582,0.37940471520183394,0.0,0.0,0.0,0.0,0.017797119562130814,40
898,hip,0.8181818181818182,0.8,0.8,0.8,0.49765960899063744,0.8181818181818182,0.8,0.8,0.8,0.49765960899063744,0.7272727272727273,0.625,1.0,0.7692307692307693,0.6392806844053174,0.09090909090909094,0.17500000000000004,0.19999999999999996,0.03076923076923077,0.14162107541467994,4
899,analcatdata_negotiation,0.7368421052631579,0.5,0.6,0.5454545454545454,0.4533330533448123,0.7368421052631579,0.5,0.6,0.5454545454545454,0.4533330533448123,0.8421052631578947,0.75,0.6,0.6666666666666666,0.4175306884176578,0.10526315789473684,0.25,0.0,0.12121212121212122,0.035802364927154495,7
900,chscase_census6,0.5625,0.5833333333333334,0.8936170212765957,0.7058823529411765,0.6955738676687074,0.5625,0.5833333333333334,0.8936170212765957,0.7058823529411765,0.6955738676687074,0.575,0.589041095890411,0.9148936170212766,0.7166666666666667,0.6957013304886469,0.012499999999999956,0.005707762557077611,0.021276595744680882,0.010784313725490158,0.00012746281993947228,32
902,sleuth_case2002,0.8333333333333334,1.0,0.7058823529411765,0.8275862068965517,0.5283021300638185,0.8333333333333334,1.0,0.7058823529411765,0.8275862068965517,0.5283021300638185,0.7666666666666667,1.0,0.5882352941176471,0.7407407407407407,0.541368905479287,0.06666666666666665,0.0,0.11764705882352944,0.08684546615581101,0.013066775415468412,11
905,chscase_adopt,0.75,0.8,0.8,0.8,0.5016982492426377,0.75,0.8,0.8,0.8,0.5016982492426377,0.75,0.8,0.8,0.8,0.5236394432911475,0.0,0.0,0.0,0.0,0.021941194048509804,3
906,chscase_census5,0.475,0.46774193548387094,0.7631578947368421,0.58,0.7325026093301594,0.475,0.46774193548387094,0.7631578947368421,0.58,0.7325026093301594,0.4375,0.42857142857142855,0.5526315789473685,0.4827586206896552,0.7680477054056382,0.03749999999999998,0.03917050691244239,0.21052631578947367,0.09724137931034477,0.03554509607547873,32
907,chscase_census4,0.4375,0.46938775510204084,0.5476190476190477,0.5054945054945055,0.7179346957858275,0.4375,0.46938775510204084,0.5476190476190477,0.5054945054945055,0.7179346957858275,0.475,0.5,0.5714285714285714,0.5333333333333333,0.7125101188442597,0.03749999999999998,0.030612244897959162,0.023809523809523725,0.02783882783882785,0.005424576941567727,32
908,chscase_census3,0.425,0.41379310344827586,0.6666666666666666,0.5106382978723404,0.7380160325713909,0.425,0.41379310344827586,0.6666666666666666,0.5106382978723404,0.7380160325713909,0.35,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.746318075777975,0.07500000000000001,0.056650246305418706,0.11111111111111105,0.07585568917668822,0.00830204320658412,32
909,chscase_census2,0.5375,0.5,0.5135135135135135,0.5066666666666667,0.6993690552556088,0.5375,0.5,0.5135135135135135,0.5066666666666667,0.6993690552556088,0.5125,0.47619047619047616,0.5405405405405406,0.5063291139240507,0.7130747183280663,0.025000000000000022,0.023809523809523836,0.027027027027027084,0.00033755274261604296,0.013705663072457575,32
911,fri_c2_250_5,0.82,0.9473684210526315,0.6923076923076923,0.8,0.4372274837015398,0.82,0.9473684210526315,0.6923076923076923,0.8,0.4372274837015398,0.86,0.9130434782608695,0.8076923076923077,0.8571428571428571,0.4392762611037848,0.040000000000000036,0.034324942791762014,0.11538461538461542,0.05714285714285705,0.0020487774022450167,20
915,plasma_retinol,0.5714285714285714,0.6041666666666666,0.7837837837837838,0.6823529411764706,0.6868760545558861,0.5714285714285714,0.6041666666666666,0.7837837837837838,0.6823529411764706,0.6868760545558861,0.5238095238095238,0.5714285714285714,0.7567567567567568,0.6511627906976745,0.7083868361469596,0.04761904761904756,0.03273809523809523,0.027027027027026973,0.03119015047879614,0.021510781591073558,25
916,fri_c3_100_5,0.65,0.6,0.6666666666666666,0.631578947368421,0.5553492870603344,0.65,0.6,0.6666666666666666,0.631578947368421,0.5553492870603344,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5695958019560636,0.050000000000000044,0.0444444444444444,0.11111111111111105,0.07602339181286544,0.014246514895729256,8
918,fri_c4_250_50,0.82,0.7894736842105263,0.75,0.7692307692307693,0.4723830293920123,0.82,0.7894736842105263,0.75,0.7692307692307693,0.4723830293920123,0.78,0.7142857142857143,0.75,0.7317073170731707,0.47675066915958425,0.039999999999999925,0.07518796992481203,0.0,0.03752345215759856,0.004367639767571929,20
919,rabe_166,0.5,1.0,0.2,0.3333333333333333,0.7399753045625532,0.5,1.0,0.2,0.3333333333333333,0.7399753045625532,0.5,1.0,0.2,0.3333333333333333,0.7475569532438402,0.0,0.0,0.0,0.0,0.007581648681286968,3
920,fri_c2_500_50,0.88,0.9444444444444444,0.7727272727272727,0.85,0.393183896225299,0.88,0.9444444444444444,0.7727272727272727,0.85,0.393183896225299,0.88,0.9444444444444444,0.7727272727272727,0.85,0.3875526332746819,0.0,0.0,0.0,0.0,0.005631262950617055,40
921,analcatdata_seropositive,0.9259259259259259,0.9375,0.9375,0.9375,0.2728472731892322,0.9259259259259259,0.9375,0.9375,0.9375,0.2728472731892322,0.9259259259259259,0.9375,0.9375,0.9375,0.2790753604164022,0.0,0.0,0.0,0.0,0.006228087227169998,10
922,fri_c2_100_50,0.85,0.875,0.7777777777777778,0.8235294117647058,0.47476658025742224,0.85,0.875,0.7777777777777778,0.8235294117647058,0.47476658025742224,0.8,0.8571428571428571,0.6666666666666666,0.75,0.4855633421514341,0.04999999999999993,0.017857142857142905,0.11111111111111116,0.07352941176470584,0.010796761894011853,8
